"","pf_rol","pf_ss","pf_movement","pf_religion","pf_association","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation","pf_rol_procedural","pf_rol_civil","pf_rol_criminal","pf_ss_homicide","pf_ss_disappearances","pf_ss_women","pf_movement_domestic","pf_movement_foreign","pf_movement_women","pf_religion_estop","pf_religion_harassment","pf_religion_restrictions","pf_association_association","pf_association_assembly","pf_association_political","pf_association_prof","pf_association_sport","pf_expression_killed","pf_expression_jailed","pf_expression_influence","pf_expression_control","pf_expression_cable","pf_expression_newspapers","pf_expression_internet","pf_identity_legal","pf_identity_parental","pf_identity_sex","pf_identity_divorce","ef_government_consumption","ef_government_transfers","ef_government_enterprises","ef_government_tax","ef_legal_judicial","ef_legal_courts","ef_legal_protection","ef_legal_military","ef_legal_integrity","ef_legal_enforcement","ef_legal_restrictions","ef_legal_police","ef_legal_crime","ef_legal_gender","ef_money_growth","ef_money_sd","ef_money_inflation","ef_money_currency","ef_trade_tariffs","ef_trade_regulatory","ef_trade_black","ef_trade_movement","ef_regulation_credit","ef_regulation_labor","ef_regulation_business"
"Albania",0.11297130871186,0.516573675052531,-0.362023083435443,1.03472516162477,1.14199962920249,0.567519355102235,-0.235117606749291,1.18576035083146,-0.0930844946929614,0.938434818000702,1.01424319548277,-0.106319647363684,0.75785136367867,-0.475480575426213,-0.105405808082952,0.498395477294889,0.70980956682031,-0.280582626517247,-0.76024086369841,0.699195424503564,-0.817777727231369,0.914468999268452,0.922518909006948,0.74439080124112,0.942362881985458,1.00761007973263,1.0626810526394,1.12320754412548,0.949901389688047,0.274440947210204,0.276654106104222,0.02870504522883,0.114203336643674,0.701371666692583,0.748011467587287,0.826985568632108,-1.62267169240272,0.710705582115871,0.672115777531138,-0.672272811687727,1.13288692514503,-0.0173326342104373,0.583373554623531,0.657878731089851,-1.0815174669243,-0.70215803343587,-0.620770067241834,0.746283548559559,-0.821683294108153,0.0506470046546921,-0.590043723182056,0.668372407302623,0.356241117821732,0.566218053760795,0.355156376738925,0.492069776163784,0.447467761442019,0.79293771156641,1.2130038621549,0.830600960125617,0.223291972552788,0.656252342052924,-0.736489092587403,0.394016779748505,0.21092278151362
"Algeria",-0.789592074364595,-0.0191418081653142,-0.966638955069109,-1.47838563261192,-0.771918131700293,-0.190747163679951,-1.98850882433882,-2.3410591369617,-0.341759226055549,-0.707550403076079,-2.45034693199517,-1.69724144253763,-0.727768589157925,-0.951916717256419,-0.628336878254878,0.69341508381159,0.109303508426777,-1.16114467342252,-0.76024086369841,-0.771839104971466,-0.817777727231369,-0.872213108665802,-1.15961354250354,-1.77115560530726,-0.852351758033466,-0.682828265504558,-0.487387065540274,-0.52255606268216,-0.972149025153572,0.274440947210204,0.276654106104222,-0.851065800117266,-0.423614702201536,0.701371666692583,-0.309880144091458,-0.275602215928849,-1.39448348574962,-1.26302534878878,-1.74750102158096,-2.03989351691988,-1.48175845170132,0.132060413259827,-2.11917962055379,-0.896359771109922,-0.349709284895871,0.0812013120761996,-0.513021252322022,-0.817254946477573,-0.422699197153878,0.129128802536345,-0.505756531766226,0.270841071578438,0.666795472212007,-0.309052583658221,-1.49226031145895,-0.119738755854875,-0.159646203456852,-0.454207038664254,-0.487706384080461,-1.65094781577359,-2.79482620292526,-1.79211311150296,-2.04997233480605,-0.982562814756704,-0.650569081147589
"Angola",-1.01505251344232,0.159200490637876,-0.966638955069109,0.794567394527207,-1.15470168388085,-0.764968411267287,0.169511135746468,0.0107376336150039,-1.46881473777286,-1.88654628492488,-1.48608904100482,-1.45489107521123,-0.920010688370031,-1.19269694032502,-0.855399623897185,0.185326622562109,-0.0680881043269619,0.159698396671223,-2.15977518096139,-0.771839104971466,0.722687293832372,0.914468999268452,0.410575450982783,0.467653023019687,-1.74970907804293,-1.52804743812315,-1.26242112463011,-0.52255606268216,-0.0111238177327628,0.274440947210204,0.276654106104222,-0.851065800117266,-1.06899634881579,-0.553476610775219,-1.3677717557702,-0.275602215928849,1.11558678852972,0.710705582115871,-1.74750102158096,0.695347893544428,0.861054838161761,0.65217253816766,-2.11917962055379,1.32398094631833,-1.47915760395947,-1.47838749675967,-1.83322585533905,-1.1299626457852,-0.821683294108153,-1.31206631245164,-1.20363776830868,-1.28641055563206,-0.788567256162,-0.133998460270685,0.718386202448455,-1.9103723261718,-3.52202769332222,-0.454207038664254,-0.392780667775812,-1.87704715123606,0.223291972552788,-1.56106280989859,-0.75861467087133,-1.3248811072502,-1.27575934290288
"Argentina",0.390719406266238,0.680585174319337,0.847208659469119,0.208415910004525,0.1850407487511,0.648499274625854,0.978768620737987,-0.92889305595636,-0.855142714023295,-1.88101333855878,-2.57279607899462,-1.60008453801603,0.986282355595901,0.339479084774945,-0.304576936608699,0.0261711512522427,0.449564156088426,1.0402604435765,0.639293453564572,0.699195424503564,0.722687293832372,0.0211279453013252,0.513651315408812,0.16600884423529,0.045005561975996,1.00761007973263,-0.487387065540274,0.300325740721658,-0.0111238177327628,0.274440947210204,0.276654106104222,0.280068144060734,0.221766944412716,0.701371666692583,0.748011467587287,0.826985568632108,1.11558678852972,0.710705582115871,0.672115777531138,0.695347893544428,-0.112483333944787,-0.727749494425733,-0.0922647391708,-1.11839384285275,-0.589237257958087,-0.844621848918913,-0.776116385262902,0.433575849627182,-1.22066739154121,-0.44246833240442,-0.368361307672617,-1.10193909864574,-0.882191804588537,-0.659160844087517,-3.05963438783947,-1.78360247453642,-4.14745346008279,0.79293771156641,-0.854468119736182,-0.496627658084319,-6.58026255794076,-0.212437045648601,-1.84006273393809,-0.89363017326329,-0.768731672711753
"Armenia",-0.0639298344401234,0.533242767330118,-0.362023083435443,-0.722633681604469,-0.197742803429457,-0.330621569961186,0.331362632744772,0.424459392280234,0.388120077331837,0.915734036450833,0.953510572418838,0.351331443726707,-0.10902220113218,-0.176946541928932,0.102482511968147,0.457748301935944,0.372494044927609,0.159698396671223,-0.76024086369841,-0.771839104971466,0.722687293832372,-0.872213108665802,0.158039584917073,-0.711249913548565,0.045005561975996,0.162390907114035,-0.487387065540274,-0.52255606268216,-0.0111238177327628,0.274440947210204,0.276654106104222,-0.599702701662407,-0.316051094432494,-0.553476610775219,-0.309880144091458,-0.275602215928849,0.29410924424999,0.710705582115871,0.672115777531138,-0.672272811687727,0.716920615104272,0.0987043370222067,0.583373554623531,-0.674325699367097,-0.503603092219367,-0.00467807172347391,0.0777060861968483,-0.19183954861282,-0.422699197153878,0.579493434644168,1.38691799559682,0.0598550977341974,0.827593354462827,0.91632630736298,0.438688175901036,0.37398393156291,0.448891880835022,0.79293771156641,0.874654774014243,0.684196447553242,0.223291972552788,0.872253419189478,0.580563752741987,-0.103312054624138,0.287674464708636
"Australia",1.63617815336404,1.26591062186846,0.847208659469119,0.965701715604632,1.14199962920249,1.05339887224395,0.735991375240531,0.0495218039485176,1.76491075607562,0.866063354766686,0.430992314180298,1.40759262123808,1.68709378751288,1.47458521314489,1.5601661935999,0.75430008485837,0.708952761802394,1.0402604435765,0.639293453564572,0.699195424503564,0.722687293832372,0.914468999268452,-0.0652914536418951,1.20654289144376,0.942362881985458,1.00761007973263,1.0626810526394,1.12320754412548,0.949901389688047,0.274440947210204,0.276654106104222,1.15983898940683,1.18983941433409,0.701371666692583,0.748011467587287,0.826985568632108,0.29410924424999,0.710705582115871,0.672115777531138,0.695347893544428,-0.466497214867123,-0.428202877516691,1.25901184841786,-0.674325699367097,1.85765626215643,0.932106691722312,1.49273096039553,1.37169894679956,1.57222128857506,1.12101141962044,0.435411265812338,1.55357227891622,0.698209024991112,0.91632630736298,-0.0284460698624652,0.500684412114556,0.448073012184044,0.79293771156641,1.09624450765941,0.799485625028153,0.223291972552788,-0.638328803332425,0.892367587940623,0.964789220307932,1.39632818180246
"Austria",1.87863180024351,1.29306798785066,0.847208659469119,0.284889505381938,1.14199962920249,1.01658981763395,0.978768620737987,-1.14102022410797,1.7629323723537,0.851956169837932,0.922568646679382,0.344790138363384,1.96452848984115,1.70147670620787,1.75104487469406,0.795928076521577,0.70980956682031,1.0402604435765,0.639293453564572,0.699195424503564,0.722687293832372,0.914468999268452,-0.18726455944129,-0.434512135327132,0.942362881985458,1.00761007973263,1.0626810526394,1.12320754412548,0.949901389688047,0.274440947210204,0.276654106104222,0.908475890574926,1.29740302210314,0.701371666692583,0.748011467587287,0.826985568632108,1.11558678852972,0.710705582115871,0.672115777531138,0.695347893544428,-0.796488725279877,-2.16118940697813,1.25901184841786,-1.34042791459557,1.31978274627269,0.846950415002683,1.54987812686079,1.37169894679956,1.97120538552934,1.24887675601584,0.372728219923182,1.45098833103522,0.939001347288094,0.91632630736298,-0.511541283729069,0.70084923034795,0.493988994946789,0.79293771156641,0.645763061190762,1.20918251932251,0.223291972552788,0.40237923595897,0.598292354972474,-0.591786447906777,0.808752394543907
"Azerbaijan",-0.512913323776146,0.418769073168572,-0.966638955069109,-1.17292949476449,-1.53748523606141,-1.84339415457677,-0.235117606749291,-1.06821487970762,0.28600444531564,-0.521754408935777,0.168092071637102,-0.13742263672333,-0.491854457002038,-0.656437955849132,-0.349691821825093,0.579584421720941,-0.0547404828303736,0.159698396671223,-0.76024086369841,-0.771839104971466,-0.817777727231369,-1.76555416263293,0.0377844100110636,-0.525835602065485,-1.74970907804293,-0.682828265504558,-1.26242112463011,-1.34543786608598,-1.93317423257438,0.274440947210204,-2.59077938733992,-1.73083664584041,-2.03706881873716,0.701371666692583,-3.48355497912769,-0.275602215928849,-1.62267169240272,0.710705582115871,0.672115777531138,-0.672272811687727,0.311068987473838,0.163219577152652,-2.11917962055379,-0.00822348413862298,0.368460029899947,1.09814961501591,0.476339455612795,-0.504547247545197,-0.0237151001996023,1.92327229957632,1.40381581587599,0.287632244301483,0.989740679857896,-1.0092690976897,0.586203448304881,-1.02231803879339,0.10366160464783,-0.454207038664254,0.407978841365983,0.488313649345841,0.223291972552788,-0.519622424154468,-0.493773617362202,-0.218477153410932,0.524248616323237
"Bahamas",0.792897562552798,-2.1565068734539,0.847208659469119,0.292997021415801,0.167638583953201,0.74604326841478,0.978768620737987,1.46821872622959,0.942080168196645,-0.967921854171747,-0.281625987217582,1.11969420592895,0.898644361483208,0.481383515329758,0.880223941957455,-2.74830139543821,0.70980956682031,-1.60142569661099,0.639293453564572,0.699195424503564,0.722687293832372,0.177958930370814,0.828032699820911,-0.0415444898043809,0.028687243305877,0.1470207134383,0.273553106449727,0.285361749013601,-0.0285999281238215,0.274440947210204,0.276654106104222,1.28552053863426,0.97471219879601,0.147147010643658,0.280776005621456,0.340009296970674,1.11558678852972,0.710705582115871,0.672115777531138,0.695347893544428,0.639796162800239,0.726942386503467,0.245554407726366,1.54601501806115,0.841343741128202,1.65427454678121,0.680210675887657,1.37169894679956,0.375268997233455,0.254417475963076,-0.790284357073314,0.53095128164746,0.619630121862439,0.547293281635164,0.0527687604103565,0.2201632382825,0.558549074096267,-1.70135178889492,-3.43156034080312,1.13581210780374,0.223291972552788,0.136905043941643,0.265472434242947,1.44852493655573,0.895130577879292
"Bahrain",0.486082145737625,-0.0450625686188126,-0.362023083435443,0.0105486983167861,-0.771918131700293,-2.20052152930804,-1.1792513393473,1.49764618196204,0.0333753198996323,0.831575079457086,0.326477210050048,0.387967019378789,0.359953456387619,0.410438135486462,0.656403327815884,0.815061294439472,-0.121457914311813,-1.16114467342252,0.639293453564572,-0.771839104971466,-0.817777727231369,0.914468999268452,-0.00859972874872873,-1.2425864484311,-0.852351758033466,-2.37326661074174,-2.03745518371995,1.12320754412548,0.949901389688047,0.274440947210204,-5.31932128418834,-1.60515509623593,-1.82194160319908,-0.553476610775219,-0.309880144091458,-2.48077778505076,-0.709918865516514,-1.92093565909033,0.672115777531138,-2.03989351691988,-0.820511095789458,0.990108460020468,1.25901184841786,1.54601501806115,0.920600544984146,1.34362322489643,1.15164900444006,-0.504547247545197,0.77425309418773,0.310983295196995,0.822651939611373,1.08314462607226,0.993939839646933,-2.24745683000482,1.2423761088227,-0.185829348362738,0.267554011459282,0.79293771156641,0.854845446697514,0.238872267162683,0.223291972552788,-0.162950389396305,-0.400827011177861,0.177428292349872,1.31020748719816
