"","pf_rol","pf_ss","pf_movement","pf_religion","pf_association","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"Bangladesh",-1.21057593977587,-0.339690605411686,-0.966638955069109,-0.893548880850785,-0.00635102733917836,-0.4003587554098,-1.85363257673233,1.68353691038978,-1.29221408877675,-0.900992735835829,-0.829577788809745,-0.31689809188926
"Barbados",0.975899353169517,-0.17735366517467,0.847208659469119,0.621680096434387,0.264236546990297,0.887758127735712,-0.639746349245051,-0.0818067989725009,0.353865531959305,-1.31539677346972,0.0607747290781472,-0.477490758204696
"Belarus",0.0131459738313786,0.784738907554257,-1.57125482670277,-1.35501991863835,-1.72887701215169,-1.16250619734499,0.331362632744772,0.226948008594949,0.203275154936221,-2.08253067852931,0.133525126842307,-0.620781612443219
"Belgium",1.6207421977264,0.894496771877562,0.847208659469119,0.406940487185592,1.14199962920249,1.27425319804881,0.735991375240531,-2.129867352492,1.20864962960172,0.812259566920905,1.00265074531123,1.05513036917088
"Belize",-0.51413283724916,-0.986200377789557,0.847208659469119,0.953321319722727,0.158576562311043,0.514146226226924,0.978768620737987,0.434802987672037,-0.0502866626628954,-0.742884808120658,0.0273260031599653,0.842620692460889
"Benin",-0.599590899495355,-0.0280561085768682,-0.362023083435443,1.16532190312451,0.950607853112215,0.803097302751092,0.978768620737987,-0.245772277883464,-0.90817629173443,-0.879329118076527,-0.840448806655138,-0.155829870806369
"Bhutan",0.501553651880691,0.546499359620821,-0.966638955069109,-0.109968428894214,-0.159092070630087,-0.27172708320357,-1.04437509174081,0.798726341442465,1.08105112728653,-1.0890161370212,-0.581111769526757,0.665456851129321
"Bolivia",-1.26053598704538,0.257427421729024,0.847208659469119,0.582457249618244,-0.197742803429457,0.449730381587002,0.978768620737987,-0.261916933041362,-1.03204415387311,0.818654071066073,-0.026400798813397,-1.98253717749223
"Bosnia and Herzegovina",0.2223005915134,0.610843879931592,-0.362023083435443,0.633950931400737,0.950607853112215,0.59696659879024,0.735991375240531,-0.918624870049343,-0.70447948755332,0.0525520943107627,0.649702000027653,0.385855554268655
"Botswana",0.327506801038391,-0.638686843265152,0.242592787835453,0.925711941196347,-0.05368816470219,0.0761184800782144,-0.882523594742507,0.17843356975274,0.480328796679778,0.582812413466709,0.56049836281046,0.731802634144548
