"uid","user","location","message","likes","n_of_message","time"
"3546789164616465","胜利条件","安徽","字幕看不清",2,1,2025-06-19 13:30:38
"118392","YOU爸妈知道吗","未知","UP主加油！看好你噢~",3,0,2025-06-19 01:04:38
"4916808","bilubiyu","未知","UP主加油！看好你噢~",3,0,2025-06-19 00:14:00
"7122986","骰子猫_","广东","补档增加含金量[doge]",35,0,2025-06-18 22:38:12
"1467720","空空will","贵州","[doge]看都看不全，谁一直举报啊",11,0,2025-06-19 01:33:13
"1467848266","蜜汁撤硕er","江苏","感觉补档完全是没看懂up像表达的东西",7,0,2025-06-19 14:37:04
"27971649","世界征服66","广西","@户晨风 @KrakenNERO @怠惰怠惰璃 @职业宣俄大使 @御上神 @DD第二代",3,0,2025-06-20 03:57:20
"360771814","尼禄教授","北京","不是，我上午刚看完的三补",25,0,2025-06-18 20:53:15
"5289233","DollyKerman","辽宁","孙笑川罪不至此[笑哭]",6,0,2025-06-19 11:50:10
"12522922","爪巴爪巴爪爪巴巴","湖南","孙笑川罪不至此啊[大哭]",3,0,2025-06-19 16:13:49
"1723733","咩哩哗啦","四川","没绷住，中午看完的三补，晚上就刷到四补了[笑哭]",22,0,2025-06-18 19:45:17
"3546703609203100","灰尘TheLordofDust","广西","补档见真活",7,0,2025-06-19 15:05:15
"15808465","三进制格式塔","内蒙古","四次补档的含金量",4,0,2025-06-19 16:46:25
"1828049780","嘉然-冯-哈布斯堡","山东","评论区某些人疑似连视频都没看完就看了个标题就来评论区发泄情绪了是吗[汤圆]",15,1,2025-06-19 10:20:10
"37182958","小慕白白白白","四川","西海！",1,0,2025-06-19 20:30:41
"331452975","发财儿儿儿","美国","加个BGM呗，有点像上课[笑哭]",2,0,2025-06-19 22:49:04
"37801847","文若疏生","广东","反复证明含金量[吃瓜]",6,0,2025-06-19 10:35:05
"43291974","mummyla","四川","孙笑川：我是坏，但罪不至此！[笑哭]",6,0,2025-06-19 16:46:12
"16456508","刘记豆浆油条","黑龙江","说的大实话",8,0,2025-06-19 04:48:48
"171386804","金钱豹的地瓜","陕西","先缓存，不然以后没了[笑哭]",1,0,2025-06-19 11:45:46
"1506848358","用户1232837381","天津","03:52 注：这里的中文字幕包含对塔木德的误解",14,0,2025-06-18 18:57:02
"100974517","亚托克斯不只是好看","四川","真理掌握在补档之上[doge]",3,0,2025-06-19 05:27:35
"390230345","东方万花大总攻","广东","呵呵 https://www.bilibili.com/video/BV1BdNZzZEYQ/?spm_id_from=333.999.top_right_bar_window_history.content.click&vd_source=7dc7e6d7f28de939f73f711813248f8a",2,0,2025-06-20 05:57:14
"108169905","蓝铃梦花-风铃","浙江","《呐 喊》 四次补档又如何？",1,0,2025-06-19 23:21:50
"1730532","萧萧的蓝","江苏","四 次 补 档[doge]",4,0,2025-06-18 23:47:48
"6677170","少林方丈法号梦一","山东","放个未删减的链接吧，下着看",1,0,2025-06-19 16:45:06
"382435488","来点作用啊修虎","湖北","这期爆的不行 哈哈哈",3,0,2025-06-19 09:16:11
"13868393","北冥殇夜","江苏","上次没看完还是三补，这么快又打赢复活赛了",1,0,2025-06-19 21:08:59
"358070167","奥菲利娅-法姆索罗涅","山东","你补了四次，我现在看了三遍了，是不是过两天还得让我再看一遍",1,0,2025-06-19 19:28:21
"231274156","摩嘀摄影师","山东","第三次评论，小孙罪不至此[doge]",1,0,2025-06-20 11:10:04
"25395292","AmazingPo","重庆","四次补档[笑哭][支持]",1,0,2025-06-19 12:55:04
"8592788","不止于白","未知","UP主加油！看好你噢~",0,0,2025-06-20 00:46:29
"3546811258112458","骰號丸家","青海","三连缓存了",6,1,2025-06-19 03:52:37
"3882130","极霸·银の光","广东","孙笑川真的罪不至此！！[吃瓜]",1,0,2025-06-19 23:15:03
"383901329","鱼粉7104号","陕西","删了多少啊？[吃瓜]",1,0,2025-06-19 13:40:19
"25526892","十万岁的老大爷","新疆","美国本土白人[笑哭]",0,0,2025-06-19 23:14:26
"12562669","麒月奇遇记","重庆","我勒个四次补档啊",0,0,2025-06-19 20:59:09
"331452975","发财儿儿儿","美国","加个BGM呗，有点像上课[笑哭]",0,0,2025-06-19 22:49:04
"352643897","咖啡夹心-硫酸饮料","湖南","一卡一卡的[笑哭]",0,0,2025-06-19 21:22:18
"14117794","bili_4540142835","四川","令人感叹",0,0,2025-06-20 06:59:15
"15290809","切发止痛","河南","up是真有活啊",0,0,2025-06-19 21:11:42
"1422944049","未现青山","北京","四次补档吗[doge_金箍]",0,0,2025-06-19 13:19:26
"404687936","正式用户居然要答题","上海","哪怕不看也给币[妙啊]",0,0,2025-06-19 14:51:19
"3546912594594501","那年冬天硕","辽宁","千年流浪，没有一秒是多余的",18,0,2025-06-20 05:13:32
"275322112","明智要戒烟","广东","犹太人的坏和小日子的坏是一个样，没得洗",36,0,2025-06-20 00:46:14
"15138930","理智中立客观haha","河南","[doge]其实如果真的好好了解美国的历史，你就会发现为什么牢美的白人至上主义一直屡禁不止了。物质决定意识。在新自由主义兴起的这些年，牢美一直在通过各种手段来驯化白人女性，最为经典的就是从小灌输“如果一个白人女性想要嫁给白人男性，那她就是种族主义者，就是在犯罪”的观念。而在这种系统性的驯化下，白人的生育率早就是负的咯，所谓的白人至上主义，从另一个角度来看，就是美国的白人正在面临事实上的“绝种”，不得不使用极端的手段来保护自己的种群。嘿嘿，这背后的推手是谁，不用我解释了吧～再看看国内这些年流行的某些普世价值～是不是似曾相识呢～～～",4,0,2025-06-19 20:46:51
"425570644","一只陈sir","山东","[笑哭][笑哭][笑哭]",12,8,2025-06-19 11:39:46
